,arrivetime,leavetime,longitude,latitude,country,region
53,2019-11-26 01:48:28.300,2019-11-26 01:49:28.424,19.820394515991,41.33459854126,alb,11
54,2019-11-26 01:48:29.222,2019-11-26 01:50:25.709,19.5209102630615,41.3352470397949,alb,11
55,2019-11-26 01:48:29.269,2019-11-26 01:49:29.269,19.5590099946197,41.3454699714522,alb,11
56,2019-11-26 01:48:29.288,2019-11-26 01:51:04.099,19.4748248,41.3217547,gbr,lnd
57,2019-11-26 01:48:29.529,2019-11-26 01:52:04.334,19.7835927305882,41.3323309168101,alb,11
58,2019-11-26 01:48:29.582,2019-11-26 01:49:53.339,19.8413971601672,41.3270600257291,alb,11
59,2019-11-26 01:48:29.912,2019-11-26 01:51:03.967,19.4883164,41.3090869,alb,11
60,2019-11-26 01:48:29.979,2019-11-26 01:50:08.434,19.781905967224,41.332217636239,alb,11
61,2019-11-26 01:48:30.100,2019-11-26 01:49:30.425,19.7890685424472,41.3384174890572,alb,11
62,2019-11-26 01:48:30.564,2019-11-26 01:49:30.800,19.7962804231977,41.3384803897155,alb,11
63,2019-11-26 01:48:30.583,2019-11-26 01:50:07.307,19.5132804533983,41.2935305055748,alb,11
64,2019-11-26 01:48:30.615,2019-11-26 01:51:34.874,19.7959107,41.3240951,alb,11
65,2019-11-26 01:48:30.755,2019-11-26 01:49:31.074,19.846057891846,41.346080780029,alb,11
66,2019-11-26 01:48:30.873,2019-11-26 01:49:30.873,19.80591871,41.32375467,alb,11
67,2019-11-26 01:48:31.026,2019-11-26 01:50:35.158,19.463268,41.3108627,alb,11
68,2019-11-26 01:48:31.139,2019-11-26 01:49:42.052,19.7798547361954,41.3451874912656,alb,11
69,2019-11-26 01:48:31.206,2019-11-26 01:50:10.149,19.8139889047913,41.3174113870425,alb,11
70,2019-11-26 01:48:31.442,2019-11-26 01:49:31.634,19.7979276993078,41.3122240402412,alb,11
71,2019-11-26 01:48:31.547,2019-11-26 01:49:36.823,19.8242383,41.3271367,alb,11
72,2019-11-26 01:48:31.560,2019-11-26 01:54:24.261,19.8304937055434,41.3275681971027,alb,11
73,2019-11-26 01:48:31.676,2019-11-26 01:50:31.083,19.7589831534967,41.3786998074401,alb,11
74,2019-11-26 01:48:32.055,2019-11-26 01:50:24.665,19.445089097269,41.3098505038745,alb,11
75,2019-11-26 01:48:32.243,2019-11-26 01:50:18.885,19.8140575,41.3382798,alb,11
76,2019-11-26 01:48:32.290,2019-11-26 01:51:31.462,19.8344402,41.3167453,alb,11
77,2019-11-26 01:48:32.337,2019-11-26 01:49:34.857,19.6334299768577,41.3936922171969,alb,11
78,2019-11-26 01:48:32.657,2019-11-26 01:50:25.363,19.438293457031,41.310806274414,alb,11
79,2019-11-26 01:48:32.742,2019-11-26 01:49:33.940,19.4404655706559,41.3297439618008,alb,11
80,2019-11-26 01:48:32.770,2019-11-26 01:51:06.576,19.7486489,41.3528672,alb,11
