,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
46,34962083,web,2019-11-26 02:50:30.080,2019-11-26 02:50:33.280,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
47,34962098,app,2019-11-26 02:50:30.127,2019-11-26 02:52:48.694,True,False,4.0,rus,mow,moscow,55.7616,37.6411,45.4987094604379,-73.4862594053192
48,34962100,app,2019-11-26 02:50:30.974,2019-11-26 02:51:31.143,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
49,34962087,web,2019-11-26 02:50:31.070,2019-11-26 02:50:46.698,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
50,34962162,web,2019-11-26 02:50:31.538,2019-11-26 02:55:26.390,False,False,15.0,ita,mi,milan,45.47271,9.18716,,
51,34962172,web,2019-11-26 02:50:32.067,2019-11-26 02:50:41.218,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
53,34962174,web,2019-11-26 02:50:32.515,2019-11-26 02:50:33.626,True,False,1.0,tur,34,istanbul,41.0136,28.9635,,
54,34962104,app,2019-11-26 02:50:33.172,2019-11-26 02:51:33.741,True,False,3.0,ita,to,ivrea,45.46661,7.87595,37.5065141,15.0894467
55,34962179,web,2019-11-26 02:50:33.606,2019-11-26 02:50:39.521,False,False,1.0,can,qc,drummondville,45.82387,-72.40316,,
56,34962121,app,2019-11-26 02:50:34.545,2019-11-26 02:52:02.875,True,False,3.0,alb,11,tirana,41.3311,19.8318,42.3662445,20.4277832
57,34962123,app,2019-11-26 02:50:34.749,2019-11-26 02:51:35.354,True,False,3.0,ita,sa,capaccio,40.42548,15.08172,40.7461750856375,14.9032169068964
58,34962132,app,2019-11-26 02:50:35.071,2019-11-26 02:51:37.696,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3283805,19.8097421
60,34962118,web,2019-11-26 02:50:35.545,2019-11-26 03:00:01.967,True,False,5.0,alb,11,tirana,41.3311,19.8318,,
61,34962134,app,2019-11-26 02:50:35.656,2019-11-26 02:51:38.834,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3205086,19.7980781
62,34962135,app,2019-11-26 02:50:35.699,2019-11-26 02:51:35.904,True,False,3.0,alb,11,tirana,41.3311,19.8318,42.0039809177892,19.6432988112775
64,34962203,web,2019-11-26 02:50:37.635,2019-11-26 02:50:38.080,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
65,34962143,app,2019-11-26 02:50:38.449,2019-11-26 02:51:45.396,True,False,3.0,alb,11,vore,41.389,19.653599,41.3134604,19.449359
66,34962164,app,2019-11-26 02:50:40.372,2019-11-26 02:51:40.372,True,False,1.0,alb,11,tirana,41.3311,19.8318,41.318758390221,19.4522123541257
67,34962222,web,2019-11-26 02:50:40.952,2019-11-26 02:50:46.334,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
68,34962177,app,2019-11-26 02:50:43.889,2019-11-26 02:51:44.196,True,False,3.0,mkd,85,skopje,42.0006,21.4663,42.0109727,21.4371057
69,34962178,app,2019-11-26 02:50:43.941,2019-11-26 02:51:44.229,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
70,34962193,app,2019-11-26 02:50:45.323,2019-11-26 02:51:45.976,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3182455,19.8292566
71,34962183,web,2019-11-26 02:50:46.041,2019-11-26 02:50:46.427,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
72,34962194,app,2019-11-26 02:50:46.088,2019-11-26 02:51:46.242,True,False,2.0,mkd,85,skopje,42.0006,21.4663,41.9947010035122,21.3963412153327
73,34962188,web,2019-11-26 02:50:46.843,2019-11-26 02:50:51.952,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
75,34962268,web,2019-11-26 02:50:47.164,2019-11-26 02:51:04.786,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
76,34962201,web,2019-11-26 02:50:48.748,2019-11-26 02:51:14.261,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
77,34962208,app,2019-11-26 02:50:48.992,2019-11-26 02:51:49.442,True,False,3.0,alb,11,tirana,41.3311,19.8318,43.5323181152344,16.5200634002686
78,34962281,web,2019-11-26 02:50:49.912,2019-11-26 02:51:50.245,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
80,34962225,app,2019-11-26 02:50:51.032,2019-11-26 02:52:35.174,True,False,5.0,svn,061,ljubljana,46.100758,14.503407,45.5785827636719,13.733925819397
81,34962228,app,2019-11-26 02:50:51.607,2019-11-26 02:51:51.828,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
82,34962230,app,2019-11-26 02:50:51.982,2019-11-26 02:52:02.727,True,False,3.0,alb,11,tirana,41.3311,19.8318,,
83,34962220,web,2019-11-26 02:50:52.006,2019-11-26 02:59:34.130,True,False,13.0,alb,11,tirana,41.3311,19.8318,,
84,34962231,app,2019-11-26 02:50:52.129,2019-11-26 02:51:52.678,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.9971714,21.5063412
85,34962240,app,2019-11-26 02:50:53.905,2019-11-26 02:52:05.237,True,False,5.0,alb,11,tirana,41.3311,19.8318,41.3466224,19.7910484
86,34962299,web,2019-11-26 02:50:54.105,2019-11-26 02:52:45.848,True,False,6.0,alb,11,tirana,41.3311,19.8318,,
87,34962237,web,2019-11-26 02:50:54.177,2019-11-26 03:01:26.965,True,False,6.0,ind,mh,mumbai,18.94206,72.83544,,
88,34962302,web,2019-11-26 02:50:54.301,2019-11-26 02:55:40.871,True,False,7.0,alb,11,tirana,41.3311,19.8318,,
