,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
0,34876351,web,2019-11-26 01:45:01.265,2019-11-26 01:45:04.560,True,False,1,tur,34,istanbul,41.0136,28.9635,,
1,34876355,app,2019-11-26 01:45:03.372,2019-11-26 01:46:03.493,True,False,2,usa,ca,hayward,37.67482,-122.08153,-35.4325485229492,-71.6197280883789
3,34876361,app,2019-11-26 01:45:06.241,2019-11-26 01:46:06.478,True,False,2,tur,34,istanbul,41.0136,28.9635,,
4,34876358,web,2019-11-26 01:45:07.048,2019-11-26 01:45:09.131,True,False,1,usa,az,phoenix,33.4492,-112.0696,,
5,34876362,web,2019-11-26 01:45:08.461,2019-11-26 01:45:13.217,False,False,1,can,qc,montreal,45.60608,-73.63886,,
6,34876374,web,2019-11-26 01:45:10.686,2019-11-26 01:45:12.971,True,False,1,alb,11,tirana,41.3311,19.8318,,
7,34876364,web,2019-11-26 01:45:12.518,2019-11-26 01:45:53.798,True,False,1,aus,vic,melbourne,-37.81425,144.96317,,
8,34876365,web,2019-11-26 01:45:14.085,2019-11-26 01:45:41.370,True,False,2,usa,az,phoenix,33.4492,-112.0696,,
9,34876367,app,2019-11-26 01:45:15.115,2019-11-26 01:46:15.115,True,False,1,fra,idf,bruyeres-le-chatel,48.5936,2.1925,,
10,34876368,app,2019-11-26 01:45:15.144,2019-11-26 01:46:15.144,True,False,1,fra,idf,bruyeres-le-chatel,48.5936,2.1925,,
11,34876370,app,2019-11-26 01:45:17.168,2019-11-26 01:47:07.347,True,False,6,alb,11,tirana,41.3311,19.8318,,
13,34876384,web,2019-11-26 01:45:20.374,2019-11-26 02:16:38.749,False,False,11,usa,md,germantown,39.19119,-77.23466,,
14,34876373,web,2019-11-26 01:45:20.931,2019-11-26 01:45:25.754,False,False,1,chl,rm,santiago,-33.4613,-70.6342,,
15,34876386,web,2019-11-26 01:45:22.922,2019-11-26 01:49:24.864,True,False,1,alb,11,tirana,41.3311,19.8318,,
16,34876387,web,2019-11-26 01:45:23.090,2019-11-26 01:45:28.532,False,False,1,hrv,21,zagreb,45.83258,15.97511,,
18,34876394,web,2019-11-26 01:45:28.665,2019-11-26 01:45:36.525,True,False,1,usa,mo,cape girardeau,37.31683,-89.54272,,
19,34876395,web,2019-11-26 01:45:29.169,2019-11-26 01:45:39.402,False,False,1,ind,kl,kottayam,9.60087,76.50935,,
21,34876388,web,2019-11-26 01:45:35.327,2019-11-26 01:45:39.760,True,False,1,gbr,lnd,london,51.51471,-0.08329,,
23,34876392,app,2019-11-26 01:45:37.451,2019-11-26 01:47:22.520,True,False,5,gbr,lnd,london,51.51471,-0.08329,,
25,34876393,web,2019-11-26 01:45:38.887,2019-11-26 01:45:45.581,False,False,1,irl,d,dublin,53.3448,-6.2593,,
26,34876407,web,2019-11-26 01:45:39.865,2019-11-26 01:45:45.189,True,False,1,usa,ga,atlanta,33.82673,-84.32171,,
27,34876397,app,2019-11-26 01:45:42.043,2019-11-26 01:46:42.226,True,False,2,usa,ca,oxnard,34.21992,-119.17998,34.1886805555556,-119.217708333333
28,34876399,app,2019-11-26 01:45:44.241,2019-11-26 01:46:44.905,True,False,2,chn,bj,beijing,39.9125,116.3888,35.391108065361,-118.816464351841
29,34876403,app,2019-11-26 01:45:45.694,2019-11-26 01:47:33.304,True,False,3,alb,11,tirana,41.3311,19.8318,28.5674449,77.2832792
30,34876401,web,2019-11-26 01:45:46.312,2019-11-26 01:46:09.005,False,False,1,bra,sp,sao paulo,-23.550652,-46.63338,,
