,evid,pubtime,oritime,lat,lon,depth,magtype,mag,region,automan,net34,nsta,mdist,gap
0,807728,2019-11-26T01:51:00.000000,2019-11-26T01:47:58.900000,41.37,19.37,40.0,mb,4.8,ADRIATIC SEA,A,MIX,49,0.91,47
1,807728,2019-11-26T01:51:00.000000,2019-11-26T01:47:58.900000,41.37,19.37,40.0,mb,4.8,ADRIATIC SEA,A,MIX,49,0.91,47
2,807728,2019-11-26T01:54:00.000000,2019-11-26T01:47:55.599999,41.4,19.44,2.0,mb,4.8,ADRIATIC SEA,A,MIX,21,0.8,76
3,807728,2019-11-26T01:54:00.000000,2019-11-26T01:47:55.900000,41.41,19.44,5.0,mb,4.8,ADRIATIC SEA,A,MIX,24,0.8,76
4,807728,2019-11-26T01:56:00.000000,2019-11-26T01:47:56.299999,41.41,19.46,10.0,mb,4.4,ALBANIA,M,INFO,17,0.79,76
5,807728,2019-11-26T15:55:00.000000,2019-11-26T01:47:56.500000,41.37,19.42,10.0,mb,4.4,ADRIATIC SEA,M,INFO,40,0.84,86
