,evid,pubtime,oritime,lat,lon,depth,magtype,mag,region,automan,net34,nsta,mdist,gap
0,808588,2019-11-28T23:04:43.978724,2019-11-28T23:00:47.200000,41.36,19.52,60.0,mb,4.8,ALBANIA,A,MIX,80,0.9,49
1,808588,2019-11-28T23:06:00.000000,2019-11-28T23:00:47.200000,41.36,19.52,60.0,mb,4.8,ALBANIA,A,MIX,80,0.9,49
2,808588,2019-11-28T23:07:00.000000,2019-11-28T23:00:46.599999,41.41,19.49,30.0,mb,4.8,ALBANIA,A,MIX,24,0.81,75
3,808588,2019-11-28T23:16:00.000000,2019-11-28T23:00:44.000000,41.37,19.54,2.0,ML,4.4,ALBANIA,A,MIX,26,0.25,77
4,808588,2019-11-28T23:16:00.000000,2019-11-28T23:00:44.700000,41.41,19.58,10.0,mb,4.5,ALBANIA,M,INFO,21,0.22,72
