id,peakid,system,country,flynn_region,triggertime,peakstart,cs_lat,cs_lon,associated_evid,evid_pubtime0,sep_emsc_cs1,triggerdelay,peakstartdelay
19389,XnhkZs,Website,alb,Albania,2019-11-28T23:01:10.000000,2019-11-28T23:00:55.016000,41.33,19.83,808588.00,2019-11-28T23:04:44.749672,22.84,25.30,10.32
19391,imG8lC,LastQuake,alb,Albania,2019-11-28T23:01:25.000000,,41.31,19.80,808588.00,2019-11-28T23:04:44.749672,21.73,40.30,
19392,8whXcA,Website,mne,Montenegro,2019-11-28T23:02:40.000000,2019-11-28T23:01:40.000000,42.53,19.23,808588.00,2019-11-28T23:04:44.749672,127.32,115.30,55.30
